dealer_id,model,region,total_sales,average_sales,average_inventory,number_of_months
D100,X3,North,2842,48.16949152542373,114.55932203389831,59
D028,iX,Central,1467,24.864406779661017,51.220338983050844,59
D068,5 Series,South,2139,36.25423728813559,91.86440677966101,59
D006,X3,Central,2259,38.28813559322034,86.20338983050847,59
D022,7 Series,South,853,14.457627118644067,23.52542372881356,59
D172,i5,North,1906,32.30508474576271,60.067796610169495,59
D228,7 Series,East,701,11.88135593220339,18.016949152542374,59
D153,iX,Central,1286,21.796610169491526,39.91525423728814,59
D148,4 Series,South,1450,24.576271186440678,87.22033898305085,59
D179,X5,Central,1958,33.186440677966104,110.61016949152543,59
D239,i5,South,1432,24.271186440677965,76.69491525423729,59
D246,4 Series,North,1796,30.440677966101696,67.01694915254237,59
D002,3 Series,West,2040,34.57627118644068,114.13559322033899,59
D006,3 Series,Central,1712,29.016949152542374,46.69491525423729,59
D006,i5,Central,1675,28.389830508474578,56.220338983050844,59
D075,iX1,West,1971,33.40677966101695,58.67796610169491,59
D081,iX3,Central,2102,35.6271186440678,88.27118644067797,59
D034,iX,East,934,15.830508474576272,29.016949152542374,59
D037,7 Series,Central,788,13.35593220338983,19.35593220338983,59
D030,X3,East,1541,26.11864406779661,73.42372881355932,59
D114,2 Series,East,916,15.525423728813559,30.28813559322034,59
D093,i7,Central,743,12.59322033898305,21.152542372881356,59
D051,X1,West,2660,45.08474576271186,94.7457627118644,59
D126,X5,East,2089,35.40677966101695,68.13559322033899,59
D127,3 Series,North,1582,26.8135593220339,64.27118644067797,59
D166,2 Series,Central,1018,17.25423728813559,23.491525423728813,59
D121,i4,East,1698,28.779661016949152,72.98305084745763,59
D241,iX,North,1471,24.93220338983051,36.40677966101695,59
D075,X5,West,1887,31.983050847457626,101.30508474576271,59
D090,2 Series,Central,1176,19.93220338983051,30.35593220338983,59
D038,2 Series,Central,999,16.93220338983051,26.76271186440678,59
D073,4 Series,East,1471,24.93220338983051,66.2542372881356,59
D122,5 Series,West,2346,39.76271186440678,101.98305084745763,59
D136,i5,South,2446,41.45762711864407,110.16949152542372,59
D136,iX3,South,1953,33.101694915254235,56.983050847457626,59
D155,iX1,East,1660,28.135593220338983,39.016949152542374,59
D196,i5,North,2119,35.91525423728814,69.61016949152543,59
D204,iX3,West,1338,22.677966101694917,65.69491525423729,59
D230,3 Series,North,1589,26.93220338983051,80.35593220338983,59
D165,iX1,East,1164,19.728813559322035,52.08474576271186,59
D214,X1,East,1815,30.76271186440678,64.03389830508475,59
D129,X1,East,1700,28.8135593220339,60.66101694915254,59
D130,i4,West,1631,27.64406779661017,69.32203389830508,59
D152,X5,South,2399,40.66101694915254,120.23728813559322,59
D247,i7,West,608,10.305084745762711,14.05084745762712,59
D247,2 Series,West,1450,24.576271186440678,76.54237288135593,59
D016,X7,West,1785,30.25423728813559,91.7457627118644,59
D052,iX1,North,1829,31.0,87.98305084745763,59
D053,2 Series,South,1106,18.74576271186441,38.66101694915254,59
D015,iX,West,1297,21.983050847457626,30.491525423728813,59
D032,i7,South,908,15.389830508474576,30.35593220338983,59
D067,iX3,Central,1567,26.559322033898304,46.32203389830509,59
D135,X1,West,2263,38.355932203389834,97.59322033898304,59
D219,X3,East,2197,37.23728813559322,101.84745762711864,59
D130,4 Series,West,1165,19.74576271186441,28.796610169491526,59
D181,iX,Central,1203,20.389830508474578,40.3728813559322,59
D186,X3,East,1695,28.728813559322035,48.25423728813559,59
D213,iX,West,2394,40.57627118644068,75.0677966101695,59
D218,iX1,North,1671,28.322033898305083,68.0,59
D173,X1,West,3053,51.74576271186441,127.72881355932203,59
D144,7 Series,East,876,14.847457627118644,32.57627118644068,59
D191,7 Series,West,948,16.06779661016949,37.6271186440678,59
D004,i7,East,440,7.4576271186440675,9.23728813559322,59
D040,iX1,West,2432,41.220338983050844,114.27118644067797,59
D006,i7,Central,832,14.101694915254237,25.508474576271187,59
D037,X5,Central,1928,32.67796610169491,86.69491525423729,59
D074,7 Series,North,887,15.033898305084746,21.271186440677965,59
D107,5 Series,West,2685,45.50847457627118,80.66101694915254,59
D053,X3,South,2821,47.813559322033896,141.33898305084745,59
D094,7 Series,South,681,11.542372881355933,30.89830508474576,59
D047,5 Series,East,2294,38.88135593220339,74.72881355932203,59
D188,i4,South,1381,23.406779661016948,54.40677966101695,59
D225,2 Series,West,1182,20.033898305084747,36.220338983050844,59
D198,iX3,North,1406,23.83050847457627,31.949152542372882,59
D160,i7,West,945,16.016949152542374,37.847457627118644,59
D174,3 Series,West,2594,43.96610169491525,88.44067796610169,59
D224,i4,South,1207,20.45762711864407,59.11864406779661,59
D139,i7,South,928,15.728813559322035,33.59322033898305,59
D152,iX1,South,2077,35.20338983050848,75.33898305084746,59
D244,X1,West,2678,45.389830508474574,80.71186440677967,59
D022,X7,South,1514,25.661016949152543,34.610169491525426,59
D048,i7,Central,793,13.440677966101696,28.033898305084747,59
D057,X3,East,2443,41.40677966101695,89.03389830508475,59
D005,i7,East,634,10.745762711864407,32.152542372881356,59
D011,i4,East,1337,22.661016949152543,42.0,59
D018,5 Series,North,1263,21.406779661016948,36.96610169491525,59
D041,iX3,North,1802,30.54237288135593,80.01694915254237,59
D102,X5,North,1300,22.033898305084747,33.86440677966102,59
D043,X7,West,1268,21.491525423728813,71.0,59
D032,5 Series,South,2378,40.30508474576271,98.91525423728814,59
D128,2 Series,West,2192,37.152542372881356,90.7457627118644,59
D168,X7,North,1062,18.0,37.440677966101696,59
D205,iX3,East,1504,25.491525423728813,34.779661016949156,59
D151,iX,Central,1355,22.966101694915253,50.54237288135593,59
D218,iX3,North,1495,25.338983050847457,73.32203389830508,59
D183,7 Series,East,827,14.016949152542374,24.406779661016948,59
D163,2 Series,East,971,16.45762711864407,27.559322033898304,59
D237,iX1,West,1765,29.915254237288135,66.16949152542372,59
D243,5 Series,North,1941,32.898305084745765,74.54237288135593,59
D250,X3,North,2253,38.186440677966104,126.15254237288136,59
D026,i5,West,2476,41.96610169491525,99.7457627118644,59
D083,3 Series,North,1741,29.508474576271187,63.74576271186441,59
D069,i7,North,914,15.491525423728813,24.203389830508474,59
D062,iX1,West,2816,47.728813559322035,135.9322033898305,59
D070,7 Series,East,970,16.440677966101696,22.8135593220339,59
D090,i5,Central,1352,22.915254237288135,43.32203389830509,59
D011,iX3,East,1696,28.74576271186441,44.69491525423729,59
D103,i5,Central,1113,18.864406779661017,34.32203389830509,59
D162,X1,West,3271,55.440677966101696,164.28813559322035,59
D221,X5,North,1992,33.76271186440678,80.94915254237289,59
D196,iX1,North,1993,33.779661016949156,89.44067796610169,59
D138,3 Series,North,1912,32.40677966101695,69.59322033898304,59
D242,X1,East,1404,23.796610169491526,64.91525423728814,59
D058,i4,North,1420,24.06779661016949,38.16949152542373,59
D017,X7,East,1390,23.559322033898304,52.88135593220339,59
D030,4 Series,East,716,12.135593220338983,31.54237288135593,59
D095,i4,Central,1725,29.23728813559322,79.22033898305085,59
D008,3 Series,West,2124,36.0,113.32203389830508,59
D049,iX,West,1791,30.35593220338983,59.6271186440678,59
D055,i4,East,1105,18.728813559322035,35.03389830508475,59
D149,iX1,Central,1070,18.135593220338983,39.88135593220339,59
D175,X5,West,2495,42.28813559322034,56.59322033898305,59
D193,7 Series,West,1113,18.864406779661017,45.728813559322035,59
D135,2 Series,West,1184,20.06779661016949,33.389830508474574,59
D147,i4,North,1632,27.661016949152543,48.389830508474574,59
D178,i5,North,1561,26.45762711864407,57.47457627118644,59
D179,7 Series,Central,594,10.067796610169491,27.338983050847457,59
D226,iX,South,1961,33.23728813559322,56.83050847457627,59
D248,X5,East,1870,31.694915254237287,45.847457627118644,59
D029,iX1,East,2318,39.28813559322034,91.0,59
D078,7 Series,South,1093,18.52542372881356,40.728813559322035,59
D089,i7,West,763,12.932203389830509,21.271186440677965,59
D078,X7,South,1335,22.627118644067796,27.016949152542374,59
D112,5 Series,West,2303,39.03389830508475,64.54237288135593,59
D084,i5,Central,1295,21.949152542372882,46.66101694915254,59
D002,X5,West,2233,37.847457627118644,89.38983050847457,59
D192,7 Series,West,799,13.542372881355933,27.847457627118644,59
D233,i4,North,1839,31.16949152542373,42.20338983050848,59
D234,X5,West,2803,47.50847457627118,114.8135593220339,59
D164,iX3,East,1549,26.25423728813559,75.71186440677967,59
D166,i7,Central,554,9.389830508474576,13.101694915254237,59
D187,iX,North,1443,24.45762711864407,40.88135593220339,59
D190,4 Series,South,1678,28.440677966101696,38.983050847457626,59
D204,i4,West,1707,28.93220338983051,57.152542372881356,59
D232,X7,Central,718,12.169491525423728,19.11864406779661,59
D116,X1,East,2400,40.67796610169491,143.35593220338984,59
D089,iX1,West,2593,43.94915254237288,103.64406779661017,59
D042,i4,West,2424,41.08474576271186,80.54237288135593,59
D053,i5,South,1942,32.91525423728814,73.40677966101696,59
D084,X5,Central,2068,35.05084745762712,76.89830508474576,59
D150,5 Series,North,1648,27.93220338983051,61.66101694915254,59
D194,i5,South,1744,29.559322033898304,76.64406779661017,59
D203,3 Series,East,1635,27.71186440677966,38.94915254237288,59
D224,7 Series,South,611,10.35593220338983,12.11864406779661,59
D226,2 Series,South,1689,28.627118644067796,78.28813559322033,59
D164,X1,East,2018,34.20338983050848,112.83050847457628,59
D135,X5,West,1777,30.11864406779661,57.40677966101695,59
D182,X3,North,1751,29.677966101694917,52.76271186440678,59
D248,i4,East,1423,24.11864406779661,48.932203389830505,59
D106,5 Series,West,2140,36.271186440677965,62.03389830508475,59
D064,X7,Central,1002,16.983050847457626,33.101694915254235,59
D105,iX,West,1684,28.54237288135593,86.15254237288136,59
D079,i7,East,438,7.423728813559322,11.745762711864407,59
D087,X1,North,1438,24.372881355932204,52.76271186440678,59
D023,4 Series,North,1812,30.71186440677966,43.88135593220339,59
D092,X7,Central,1182,20.033898305084747,35.88135593220339,59
D024,iX,Central,1186,20.10169491525424,41.47457627118644,59
D091,X1,East,2378,40.30508474576271,94.59322033898304,59
D147,5 Series,North,2204,37.355932203389834,100.0677966101695,59
D185,i5,East,1186,20.10169491525424,51.03389830508475,59
D212,X5,West,2333,39.54237288135593,79.0677966101695,59
D145,iX3,Central,1908,32.33898305084746,36.932203389830505,59
D228,iX3,East,1169,19.8135593220339,49.813559322033896,59
D145,2 Series,Central,1133,19.203389830508474,43.69491525423729,59
D163,3 Series,East,1778,30.135593220338983,72.96610169491525,59
D205,2 Series,East,1166,19.76271186440678,31.440677966101696,59
D126,i7,East,824,13.966101694915254,28.271186440677965,59
D154,3 Series,South,2498,42.33898305084746,89.33898305084746,59
D126,iX1,East,1834,31.084745762711865,104.8135593220339,59
D030,iX1,East,1200,20.338983050847457,50.52542372881356,59
D067,3 Series,Central,1525,25.847457627118644,52.57627118644068,59
D082,i4,East,1580,26.779661016949152,65.89830508474576,59
D090,7 Series,Central,629,10.661016949152541,12.966101694915254,59
D114,i5,East,1519,25.74576271186441,45.91525423728814,59
D017,X3,East,2228,37.76271186440678,56.20338983050848,59
D068,i4,South,1743,29.54237288135593,55.57627118644068,59
D092,2 Series,Central,1347,22.83050847457627,63.355932203389834,59
D107,3 Series,West,2897,49.101694915254235,112.84745762711864,59
D052,i5,North,1692,28.677966101694917,45.728813559322035,59
D136,5 Series,South,2717,46.05084745762712,91.72881355932203,59
D183,iX,East,1069,18.11864406779661,35.54237288135593,59
D200,i4,Central,1245,21.10169491525424,39.28813559322034,59
D231,i4,East,1607,27.23728813559322,60.40677966101695,59
D217,iX1,North,1832,31.050847457627118,109.59322033898304,59
D213,iX1,West,3274,55.49152542372882,126.11864406779661,59
D121,iX,East,1405,23.8135593220339,45.88135593220339,59
D245,2 Series,West,1472,24.949152542372882,51.847457627118644,59
D239,X7,South,1370,23.220338983050848,35.3728813559322,59
D004,X1,East,1446,24.508474576271187,45.389830508474574,59
D026,i4,West,2071,35.101694915254235,82.98305084745763,59
D113,X7,East,1075,18.220338983050848,30.796610169491526,59
D059,4 Series,West,1436,24.338983050847457,61.220338983050844,59
D079,7 Series,East,639,10.830508474576272,16.11864406779661,59
D011,3 Series,East,1710,28.983050847457626,44.28813559322034,59
D009,X3,South,1854,31.423728813559322,79.86440677966101,59
D110,X3,West,2598,44.03389830508475,95.59322033898304,59
D127,i5,North,1548,26.23728813559322,50.779661016949156,59
D144,X3,East,2588,43.86440677966102,68.8135593220339,59
D236,2 Series,West,1378,23.35593220338983,44.50847457627118,59
D186,X5,East,1350,22.88135593220339,33.42372881355932,59
D199,i5,South,1175,19.915254237288135,37.067796610169495,59
D189,i4,South,1239,21.0,59.57627118644068,59
D191,X5,West,2382,40.3728813559322,120.08474576271186,59
D226,iX3,South,2392,40.54237288135593,102.64406779661017,59
D160,iX1,West,3026,51.28813559322034,154.40677966101694,59
D187,X3,North,2893,49.03389830508475,79.37288135593221,59
D243,X7,North,1055,17.88135593220339,31.71186440677966,59
D248,X1,East,1679,28.45762711864407,54.67796610169491,59
D010,X7,North,1614,27.35593220338983,70.83050847457628,59
D027,X5,East,1707,28.93220338983051,84.32203389830508,59
D059,X1,West,2567,43.50847457627118,136.25423728813558,59
D089,X3,West,3102,52.57627118644068,119.22033898305085,59
D042,iX3,West,2042,34.610169491525426,91.67796610169492,59
D074,X3,North,2626,44.50847457627118,83.62711864406779,59
D113,2 Series,East,1415,23.983050847457626,48.45762711864407,59
D005,X1,East,2437,41.30508474576271,122.72881355932203,59
D045,X7,North,1342,22.74576271186441,35.96610169491525,59
D088,X3,South,2295,38.898305084745765,108.08474576271186,59
D142,7 Series,South,841,14.254237288135593,21.45762711864407,59
D160,2 Series,West,1588,26.915254237288135,54.54237288135593,59
D168,i5,North,1271,21.54237288135593,60.847457627118644,59
D180,X3,East,2871,48.66101694915254,131.88135593220338,59
D207,X1,West,3605,61.101694915254235,134.23728813559322,59
D133,i4,North,1476,25.016949152542374,39.30508474576271,59
D134,iX,East,1261,21.372881355932204,58.03389830508475,59
D180,iX3,East,2083,35.30508474576271,80.08474576271186,59
D244,7 Series,West,1324,22.440677966101696,45.05084745762712,59
D012,iX1,Central,1620,27.45762711864407,45.66101694915254,59
D065,i5,East,1766,29.93220338983051,41.983050847457626,59
D071,4 Series,West,2389,40.49152542372882,131.66101694915255,59
D040,iX3,West,2035,34.49152542372882,78.05084745762711,59
D044,iX3,South,1699,28.796610169491526,84.16949152542372,59
D096,i5,South,2309,39.13559322033898,77.35593220338983,59
D029,iX,East,1446,24.508474576271187,59.220338983050844,59
D043,X5,West,1729,29.305084745762713,49.728813559322035,59
D023,iX1,North,1963,33.271186440677965,69.45762711864407,59
D099,i4,West,1190,20.16949152542373,43.96610169491525,59
D045,5 Series,North,1847,31.305084745762713,49.88135593220339,59
D037,2 Series,Central,1239,21.0,39.101694915254235,59
D017,2 Series,East,1067,18.084745762711865,54.54237288135593,59
D123,i7,West,821,13.915254237288135,31.203389830508474,59
D173,i4,West,2321,39.33898305084746,116.35593220338983,59
D195,X3,Central,3598,60.983050847457626,112.62711864406779,59
D122,3 Series,West,1900,32.20338983050848,49.28813559322034,59
D190,X1,South,2411,40.86440677966102,120.69491525423729,59
D232,iX,Central,1046,17.728813559322035,27.694915254237287,59
D202,i7,Central,613,10.389830508474576,15.711864406779661,59
D201,iX1,South,2951,50.016949152542374,153.6949152542373,59
D226,X3,South,3639,61.67796610169491,167.45762711864407,59
D130,i7,West,805,13.64406779661017,18.47457627118644,59
D203,i5,East,2033,34.45762711864407,87.08474576271186,59
D124,X7,East,1041,17.64406779661017,26.966101694915253,59
D246,iX3,North,1995,33.813559322033896,79.27118644067797,59
D069,X7,North,1253,21.23728813559322,29.45762711864407,59
D105,2 Series,West,1756,29.76271186440678,57.52542372881356,59
D105,X7,West,1729,29.305084745762713,96.0,59
D108,X3,West,3431,58.152542372881356,149.5593220338983,59
D052,4 Series,North,1592,26.983050847457626,49.559322033898304,59
D166,4 Series,Central,1295,21.949152542372882,34.94915254237288,59
D182,i5,North,1177,19.949152542372882,42.25423728813559,59
D185,X3,East,2587,43.847457627118644,119.59322033898304,59
D199,iX,South,989,16.76271186440678,29.661016949152543,59
D210,5 Series,West,2270,38.47457627118644,86.89830508474576,59
D119,X7,South,1298,22.0,70.35593220338983,59
D195,X5,Central,2206,37.389830508474574,62.47457627118644,59
D210,iX,West,1800,30.508474576271187,46.67796610169491,59
D227,X3,Central,2901,49.16949152542373,142.16949152542372,59
D234,3 Series,West,1928,32.67796610169491,77.1864406779661,59
D143,X3,South,3444,58.3728813559322,112.66101694915254,59
D182,3 Series,North,1335,22.627118644067796,54.898305084745765,59
D205,4 Series,East,1375,23.305084745762713,54.11864406779661,59
D239,iX1,South,1433,24.28813559322034,49.016949152542374,59
D034,2 Series,East,810,13.728813559322035,35.0,59
D048,X3,Central,3106,52.644067796610166,82.03389830508475,59
D059,iX3,West,1558,26.406779661016948,78.7457627118644,59
D063,iX,South,1184,20.06779661016949,38.152542372881356,59
D084,X1,Central,1686,28.576271186440678,55.16949152542373,59
D009,4 Series,South,1128,19.11864406779661,26.406779661016948,59
D044,X7,South,1043,17.677966101694917,21.915254237288135,59
D182,4 Series,North,1202,20.372881355932204,44.42372881355932,59
D218,X3,North,2558,43.355932203389834,87.67796610169492,59
D123,4 Series,West,1986,33.66101694915254,89.57627118644068,59
D152,7 Series,South,681,11.542372881355933,19.661016949152543,59
D184,i5,West,2322,39.355932203389834,98.84745762711864,59
D196,3 Series,North,1724,29.220338983050848,42.152542372881356,59
D225,i5,West,1336,22.64406779661017,66.2542372881356,59
D181,iX1,Central,1649,27.949152542372882,45.016949152542374,59
D235,iX1,East,1193,20.220338983050848,49.067796610169495,59
D143,i4,South,2134,36.16949152542373,75.50847457627118,59
D156,4 Series,West,1476,25.016949152542374,37.13559322033898,59
D140,7 Series,East,831,14.084745762711865,19.406779661016948,59
D007,iX3,North,1090,18.47457627118644,34.898305084745765,59
D028,2 Series,Central,1466,24.847457627118644,33.28813559322034,59
D035,iX1,Central,1882,31.89830508474576,112.88135593220339,59
D085,X1,West,2606,44.16949152542373,66.54237288135593,59
D029,X7,East,1111,18.83050847457627,61.54237288135593,59
D106,iX3,West,1832,31.050847457627118,48.91525423728814,59
D192,i7,West,578,9.796610169491526,12.745762711864407,59
D224,iX3,South,1528,25.89830508474576,33.33898305084746,59
D235,X5,East,1520,25.76271186440678,48.66101694915254,59
D134,iX3,East,1105,18.728813559322035,28.610169491525422,59
D217,i7,North,614,10.40677966101695,14.305084745762711,59
D198,i5,North,1368,23.1864406779661,50.440677966101696,59
D236,X3,West,2873,48.69491525423729,160.45762711864407,59
D169,7 Series,South,700,11.864406779661017,32.20338983050848,59
D249,4 Series,West,1525,25.847457627118644,54.3728813559322,59
D250,X1,North,2485,42.11864406779661,84.9322033898305,59
D063,i4,South,1541,26.11864406779661,44.101694915254235,59
D077,iX,South,1556,26.372881355932204,51.71186440677966,59
D106,7 Series,West,852,14.440677966101696,29.508474576271187,59
D036,3 Series,North,2080,35.25423728813559,104.86440677966101,59
D086,3 Series,West,2411,40.86440677966102,124.13559322033899,59
D112,2 Series,West,1112,18.847457627118644,43.49152542372882,59
D099,X3,West,2686,45.52542372881356,65.28813559322033,59
D171,7 Series,North,1097,18.593220338983052,30.084745762711865,59
D180,iX1,East,1674,28.372881355932204,57.08474576271186,59
D184,i7,West,971,16.45762711864407,26.16949152542373,59
D231,2 Series,East,1153,19.54237288135593,34.50847457627118,59
D137,X1,West,3466,58.74576271186441,221.94915254237287,59
D149,i5,Central,1325,22.45762711864407,45.16949152542373,59
D161,iX3,Central,1563,26.491525423728813,57.57627118644068,59
D183,X7,East,1075,18.220338983050848,30.25423728813559,59
D170,iX3,North,1765,29.915254237288135,42.76271186440678,59
D198,X5,North,1916,32.47457627118644,43.220338983050844,59
D230,iX,North,1598,27.084745762711865,64.28813559322033,59
D004,7 Series,East,500,8.474576271186441,17.152542372881356,59
D052,2 Series,North,1377,23.338983050847457,38.83050847457627,59
D055,4 Series,East,1348,22.847457627118644,41.74576271186441,59
D112,i4,West,1597,27.06779661016949,34.11864406779661,59
D082,X7,East,1112,18.847457627118644,36.74576271186441,59
D022,X5,South,2464,41.76271186440678,95.66101694915254,59
D083,X7,North,1469,24.89830508474576,73.01694915254237,59
D003,iX,West,1665,28.220338983050848,71.42372881355932,59
D044,X5,South,2003,33.94915254237288,88.91525423728814,59
D067,5 Series,Central,2089,35.40677966101695,60.45762711864407,59
D092,X1,Central,1899,32.186440677966104,69.79661016949153,59
D143,X7,South,1391,23.576271186440678,63.728813559322035,59
D150,X5,North,1394,23.627118644067796,44.54237288135593,59
D157,X7,North,1175,19.915254237288135,29.084745762711865,59
D166,iX1,Central,1584,26.847457627118644,53.67796610169491,59
D171,i5,North,2063,34.96610169491525,95.45762711864407,59
D208,2 Series,Central,1407,23.847457627118644,39.33898305084746,59
D215,X3,West,2436,41.28813559322034,78.38983050847457,59
D217,7 Series,North,673,11.40677966101695,15.966101694915254,59
D158,X5,East,2265,38.389830508474574,133.67796610169492,59
D230,2 Series,North,1074,18.203389830508474,31.203389830508474,59
D198,i4,North,1127,19.10169491525424,56.186440677966104,59
D243,X3,North,1911,32.389830508474574,64.13559322033899,59
D057,3 Series,East,1548,26.23728813559322,52.389830508474574,59
D082,iX3,East,1816,30.779661016949152,41.96610169491525,59
D007,7 Series,North,509,8.627118644067796,15.559322033898304,59
D066,7 Series,South,1081,18.322033898305083,29.28813559322034,59
D111,5 Series,South,1445,24.491525423728813,51.96610169491525,59
D077,iX1,South,2172,36.813559322033896,48.71186440677966,59
D053,iX3,South,1605,27.203389830508474,84.57627118644068,59
D095,X5,Central,1822,30.88135593220339,82.76271186440678,59
D089,X7,West,1374,23.28813559322034,43.30508474576271,59
D093,X7,Central,1052,17.83050847457627,39.67796610169491,59
D120,3 Series,North,1193,20.220338983050848,73.35593220338983,59
D128,iX,West,2011,34.08474576271186,106.1864406779661,59
D121,3 Series,East,1527,25.88135593220339,44.71186440677966,59
D200,iX3,Central,1516,25.694915254237287,36.847457627118644,59
D211,iX,South,1521,25.779661016949152,54.86440677966102,59
D166,3 Series,Central,1300,22.033898305084747,70.69491525423729,59
D203,iX1,East,2023,34.28813559322034,75.32203389830508,59
D046,iX1,Central,1594,27.016949152542374,45.91525423728814,59
D036,5 Series,North,2443,41.40677966101695,100.61016949152543,59
D090,X3,Central,2490,42.20338983050848,146.5084745762712,59
D100,X5,North,1824,30.915254237288135,50.898305084745765,59
D051,X3,West,4371,74.08474576271186,127.35593220338983,59
D054,3 Series,East,1071,18.152542372881356,23.627118644067796,59
D040,7 Series,West,945,16.016949152542374,23.423728813559322,59
D204,5 Series,West,1610,27.28813559322034,74.23728813559322,59
D230,X7,North,1332,22.576271186440678,28.93220338983051,59
D169,i7,South,524,8.88135593220339,12.491525423728813,59
D163,X5,East,2156,36.54237288135593,59.728813559322035,59
D188,iX,South,1036,17.559322033898304,57.559322033898304,59
D233,iX3,North,1845,31.271186440677965,86.01694915254237,59
D187,7 Series,North,704,11.932203389830509,22.152542372881356,59
D171,i7,North,857,14.525423728813559,24.54237288135593,59
D170,i4,North,1208,20.47457627118644,31.440677966101696,59
D175,i5,West,2802,47.49152542372882,66.40677966101696,59
D238,7 Series,East,599,10.152542372881356,15.0,59
D240,i7,West,830,14.067796610169491,31.203389830508474,59
D002,2 Series,West,1338,22.677966101694917,58.983050847457626,59
D010,5 Series,North,2063,34.96610169491525,108.61016949152543,59
D061,iX3,Central,2059,34.898305084745765,69.77966101694915,59
D115,4 Series,East,868,14.711864406779661,40.05084745762712,59
